hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,essential_dental,provider_name,google_name,city,type,group_name,tel_no,area,location
M134,✔,✔,✔,✔,✔,✔,✔,✖,FIRST MEDICAL CENTRE,First Medical Center,DUBAI,MEDICAL CENTER,FIRST MEDICAL CENTRE,04-2976868,DEIRA,"Level 7, Bu Haleeba Plaza, Muraqqabat St., Deira, P.O. Box: 252177"
M167,✔,✔,✔,✔,✔,✖,✖,✖,GARDENS MEDICAL CENTER,"Aster Clinic, Discovery Gardens",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4489151,DISCOVERY GARDEN,"Discovery Gardens, Building #9, zen clusteer,P.O. Box: 8703 Dubai"
M434,✔,✔,✔,✔,✔,✖,✖,✖,GARDENS SPECIALITY CLINIC,Gardens Speciality Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2767512,DISCOVERY GARDEN,"Flat 4,5 & 6, Ground Floor, Zen Cluster Bldg. No. 4, Near to Sunrise Supermarket, Discovery Garden, Dubai, P.O. Box: 8703, Dubai"
M845,✔,✔,✔,✔,✔,✔,✖,✖,Globehealth General Clinic  LLC,Globehealth General Clinic,DUBAI,MEDICAL CENTER,-,04-3464180,Satwa,"Flat No:111,Emirates Islamic Bank Building,2nd December Street Satwa  Dubai U A E,P.O. Box:115194"
M1109,✔,✖,✖,✖,✖,✖,✖,✖,Green Community Br Of G M C Healthcare LLC,Gmcclinics - Green Community,DUBAI,MEDICAL CENTER,GMC HEALTHCARE LLC,04 -3932983,DIP,"1st Floor, ""The Market"" Shopping Centre, Green Community, DIP"
M521,✔,✔,✔,✔,✖,✖,✖,✖,GSM MEDICAL CENTER LLC,Gsm Medical Center Llc,DUBAI,MEDICAL CENTER,-,04-8831002,Al Satwa,"Al Bada Al Muaded Building, Al Mazrouei, Near Satwa Roundabout, Al Satwa, Dubai"
M122,✔,✔,✔,✔,✔,✖,✖,✖,HARLEY INTERNATIONAL MEDICAL CLINIC,Harley International Medical Clinic | Al Mankhool,DUBAI,MEDICAL CENTER,HARLEY MEDICAL,04-3986677,AL SATWA,"Nashwan Building, D-Block 1st Floor, Satwa Road, P.O. Box: 34801"
M630,✔,✔,✔,✔,✔,✖,✖,✖,HARLEY INTERNATIONAL MEDICAL CLINIC (BRANCH),Harley International Medical Clinic | Al Mankhool,DUBAI,MEDICAL CENTER,HARLEY MEDICAL,04-3986677,BUR DUBAI,"Al Mankhool Road, Nashwan Building,  D Block, 3rd floor, Bur Dubai, UAE"
M945,✔,✔,✔,✔,✔,✖,✖,✖,Harley International Medical Clinic LLC Branch,Harley International Medical Clinic - Al Barsha,DUBAI,MEDICAL CENTER,HARLEY MEDICAL,04-3986677,AL BARSHA,"2nd Floor - 202, Al Attar Business Center, P.o. Box: 34801, Al Barsha, U.A.E"
M1013,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub Br  Al Futtaim Healthcare single person Company LLC,Healthhub Clinic And Pharmacy | 𝐃𝐢𝐬𝐜𝐨𝐯𝐞𝐫𝐲 𝐆𝐚𝐫𝐝𝐞𝐧𝐬,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-3645200,DISCOVERY GARDENS,"Zen Cluster 3, Building No-6 , Dubai Discovery Gardens"
M1014,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub Br  Al Futtaim Healthcare single person Company LLC,Healthhub Clinic | 𝐒𝐢𝐥𝐢𝐜𝐨𝐧 𝐎𝐚𝐬𝐢𝐬,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-3057300,DUBAI SILICON OASIS,"Lynx Tower , Ground Floor , Dubai silicon Oasis"
M1015,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub Br  Al Futtaim Healthcare single person Company LLC,Healthhub Day Surgery Center | 𝐅𝐞𝐬𝐭𝐢𝐯𝐚𝐥 𝐂𝐢𝐭𝐲,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-2085953,DUBAI FESTIVALCITY,"Dubai Festival City Mall , NOVO cinema parking , Basement"
M1016,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub Br  Al Futtaim Healthcare single person Company LLC,Healthhub Clinic And Pharmacy | 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐂𝐢𝐭𝐲,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-5714156,INTERNATIONAL CITY,"Warsan -1, Warsan Building , Ground Floor , International City"
M1017,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub Br  Al Futtaim Healthcare single person Company LLC,Healthhub Clinic And Pharmacy | 𝐀𝐥 𝐖𝐚𝐫𝐪𝐚,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-2186222,AL WARQA-1,"Mashroom Building 3 , Ground Floor , Al Warqa st , Al Warqa-1"
M1012,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub Br of Al Futtaim Healthcare single person Company LLC,Healthhub Clinic And Pharmacy | 𝐀𝐥 𝐐𝐮𝐬𝐚𝐢𝐬,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-2040400,AL QUSAIS 1,"Manazel deira Building , Next to fortune plaza Hotel , Qusais -1"
M1087,✔,✔,✔,✔,✔,✖,✖,✖,Healthhub6 BR. Al Futtaim Healthcare Single Person Company LLC,Healthhub Clinic And Pharmacy | 𝐀𝐥 𝐊𝐚𝐫𝐚𝐦𝐚,DUBAI,MEDICAL CENTER,HEALTHHUB- AL FUTTAIM GROUP,04-2186222,Karama,"Al Kifaf Manison Building , GF , 11th street , Next to Al Ibrahimi Restaurant, Karama, Dubai UAE"
M908,✔,✔,✔,✔,✔,✔,✖,✖,HOPECARE POLYCLINIC L.L.C,Hopecare Polyclinic L.L.C,DUBAI,MEDICAL CENTER,-,04-2268881,Hor Al ANZ,"Hamad khalfan building 1, 26th street, shop 1 to 6, hor al anz Dubai"
A113,✔,✔,✔,✔,✔,✔,✖,✖,JANSON MEDICAL CLINIC,Jansons Medical Centre,DUBAI,MEDICAL CENTER,-,04-3939011,BUR DUBAI,"Opp. Al Rafa Police Station , P.O. Box: 121574"
M386,✔,✔,✔,✔,✔,✔,✖,✖,KIMS MEDICAL CENTRE,Kimshealth,DUBAI,MEDICAL CENTER,KIMS GROUP,04-2624500,DEIRA,"Kims Medical Center, Next to Abu Baker Siddique metro station, Behind United Hypermarket, Deira, Dubai, P.O. Box: 82909, Dubai"
M878,✔,✔,✔,✔,✔,✔,✔,✔,KINGS MEDICAL CENTER LLC,Kings Medical Center,DUBAI,MEDICAL CENTER,-,04-2552020,AL RIGGA,"Al riqqa business center, al riqqa st, ibis hotel 4002, P.O. Box:55951, DUBAI-UAE"
M1219,✔,✔,✔,✔,✔,✖,✖,✖,LIFENITY INTERNATIONAL ADVANCED POLY CLINIC L.L.C,Lifenity International Advanced Poly Clinic,DUBAI,MEDICAL CENTER,LIFENITY INTERNATIONAL GROUP,04-3216964,Al Nahda 2,"Shop no:2 , JMS building, 19 A street, Al Nahda 2, Dubai."
M1220,✔,✔,✔,✔,✔,✖,✖,✖,LIFENITY INTERNATIONAL ADVANCED POLY CLINIC L.L.C (BRANCH),Lifenity International Advanced Poly Clinic(Al Barsha),DUBAI,MEDICAL CENTER,LIFENITY INTERNATIONAL GROUP,04-2586624,AL BARSHA 1,"Shop No 5, Elite Business Centre, Al Barsha 1, Opposite Lulu Hypermarket, Dubai."
A209,✔,✔,✔,✔,✔,✖,✖,✖,LOTUS MEDICAL CENTER,Lotus Medical Center Llc,DUBAI,MEDICAL CENTER,-,04-3465380,AL QUOZ,"101- AL ROSTAMANI BUILDING , LATIFA BINT HAMDAN STREET, AL QOUZ, P.O. Box:127577, DUBAI"
A123,✔,✔,✔,✔,✖,✖,✖,✖,MAISSAN MEDICAL CLINIC,𝗠𝗔𝗜𝗦𝗔𝗡 𝗠𝗘𝗗𝗜𝗖𝗔𝗟 𝗖𝗟𝗜𝗡𝗜𝗖 | عيادة طب الأطفال,DUBAI,MEDICAL CENTER,-,04-2977995,AL MURAQQABAT,"Murqabat Rd., Sultan Lootah Bldg., above Patchi , P.O. Box: 13761"
M090,✔,✔,✔,✔,✖,✔,✖,✖,MARHABA MEDICAL CENTER-DXB,Marhaba Medical Centre,DUBAI,MEDICAL CENTER,-,04-2224844,DEIRA,"Sunshine building -2, fishroudabout, deira, dubai -UAE"
M1089,✔,✔,✔,✔,✔,✖,✖,✖,MATHEW MEDICAL CLINIC LLC,Mathew Medical Clinic Llc,DUBAI,MEDICAL CENTER,-,04-2260826,SABHKA,FLAT NO 7. DEIRA CENTRAL BANK BUILDING. NAIF ROAD.AL SABHKA. DUBAI
M259,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE EYE CENTRE BR OF MEDCARE HOSPITAL LLC,Medcare Eye Centre,DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-3807333,SZR,"Mathloob Building, Block F, First Floor, Shk Zayed Road, Near to MOSH Hospital, Dubai, PO box 215565"
M216,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTER - JBR,"Medcare Medical Centre, Jbr",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-4539450,JBR,"Sadaf Cluster M/F, JBR 4, JBR Walk, P.O. Box: 215565"
M161,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTER - JUMEIRAH BRANCH,"Medcare Medical Centre, Jumeirah",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-3953115,JBR,"Jumairah Beach Road, Umm Suqueim 1, P.O. Box: 215565"
M154,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTER - MIRDIF,"Medcare Medical Centre, Mirdif Mall",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-2847199,MIRDIFF,"Al Barajeel Oasis Complex, Road # 47; Mirdif, P.O. Box: 215565"
M162,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTER - MIRDIF CITY CENTER,"Medcare Medical Centre, City Center Mirdif",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-2840722,MIRDIFF,"Mirdif City Center , P.O. Box: 215565"
M629,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTRE AL KHAWANEEJ BR OF MEDCARE HOSPITAL LLC,"Medcare Medical Centre, Khawaneej",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-2803954,KHAWANEEJ,"Dakakken, Ground Floor and First Floor, Shop No. 24,25,26, AL KHAWANEEJ 1, DUBAI, UAE"
M467,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTRE DISCOVERY GARDENS,"Medcare Medical Centre, Discovery Garden",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-5530290,DISCOVERY GARDEN,"Discovery Pavilion Bldg., Beside Geant Super Market, Road 7, Discovery Gardens"
M480,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTRE MARINA BR OF MEDCARE HOSPITAL LLC,"Medcare Medical Centre, Marina",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-5586467,DUBAI MARINA,"Sukoon Tower, Marsa, Dubai Marina"
M662,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTRE MOTORCITY BR OF MEDCARE HOSPITAL,"Medcare Medical Centre, Motor City",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-5147969,MOTOR CITY,"MEDCARE CEDICAL CENTER MOTOR CITY , BUILDING 3 THE RIBBON MALL MOTOR CITY DUBAI"
M663,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE MEDICAL CENTRE RASHIDIYA BR OF MEDCARE HOSPITAL LLC,"Medcare Medical Centre,Al Rashidiya",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-2885881,AL RASHIDIYA,P.O BOX 215565 BUILDING NAME BIN SOUGAT COMPLEX AL RASHIDIYA
M342,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE PAEDIATRIC SPECIALTY CLINIC,Medcare Paediatric Speciality Centre ( Now At Medcare Medical Centre – Jumeirah),DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-4079220,JUMEIRAH,"Jumeirah 1, P.O. Box: 8703, Dubai"
M359,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE PHYSIOTHERAPY AND REHABILITATION CENTRE,Medcare Physio & Rehab Center,DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-4079220,SAFA 1,"Sheikh Saeed Bin Maktoum Bin Juma Bldg., Safa 1, Dubai, P.O. Box: 215565, Dubai"
M466,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE SPECIALTY CENTER BR OF MEDCARE HOSPITAL LLC,"Medcare Medical Centre, Al Barajeel",DUBAI,MEDICAL CENTER,MEDCARE GROUP,04-2363593,MIRDIFF,"Al Barjeel Oasis Complex, Mirdiff"
M1265,✔,✔,✖,✖,✖,✖,✖,✖,FAKEEH MEDICENTRES POLYCLINIC JUMEIRAH BRANCH,Fakeeh Medicentres - Jumeirah Park,DUBAI,MEDICAL CENTER,FAKEEH MEDICENTRES POLYCLINIC GROUP,04-5516311,JUMEIRAH PARK PAVILION,"JPV-RTL-12, Jumeirah Park Pavilion, Jumeirah Park, Dubai"
M1266,✔,✔,✖,✖,✖,✖,✖,✖,FAKEEH MEDICENTRES POLYCLINIC LLC BRANCH,Fakeeh Medicentres - Al Furjan,DUBAI,MEDICAL CENTER,FAKEEH MEDICENTRES POLYCLINIC GROUP,04-2432672,AL FURJAN,"Al Furjan Pavilion Shopping Mall, FRJP - R25 & 26, Al Furjan, Dubai"
M139,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC AL QUSAIS,Mediclinic Al Qusais,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-2586466,AL QUSAIS,"Dubai Residential Oasis Bldg, Shop # 345, P.O. Box: 30622"
M126,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC AL SUFOUH,Mediclinic Al Sufouh,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-3661030,AL SUFOUH,"Block 10, Knowledge Village, P.O. Box: 500723"
M194,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC ARABIAN RANCHES,Mediclinic Arabian Ranches,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-4453900,ARABIAN RANCHES,"Arabian Ranches, Main Gate opp. Village Community, P.O. Box: 123812"
M320,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC DEIRA CLINIC (BR OF MEDICLINIC CLINICS INVESTMENT L.L.C),Mediclinic Deira,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-2052777,DEIRA,"Deira City Centre Bldg, Dubai, P.O. Box: 112222, Dubai"
M175,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC IBN BATTUTA,Mediclinic Ibn Battuta,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-4409000,IBN BATUTTA,"Ibn Batutta Mall., P.O. Box: 117093"
M193,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC MEADOWS CLINIC,Mediclinic Meadows,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,8001999,MEADOWS,"The Meadows, Street 1, near Emirates International School, P.O. Box: 123812"
M524,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC MEAISEM,Mediclinic Me'Aisem,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-2052771,ME'AISEM,"G044, Ground Gloor, Me'aisem City Centre, Sheikh Mohammed Bin Zayed Road & Al Khalil Road Intesection, International Media Production Zone"
M172,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC MIRDIF,Mediclinic Mirdif,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-2881302,MIRDIFF,"Uptown Mirdif, P.O. Box: 232328"
M944,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC SPRINGS CLINIC,Mediclinic Springs,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-5103222,Meadows,"Al Sohool Street, Meadows Town Centre , Dubai UAE, P.O. Box:282414"
M456,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC WELCARE OUTPATIENT CENTRE,Mediclinic Welcare Hospital,DUBAI,MEDICAL CENTER,MEDICLINIC GROUP,04-2827788,AL GARHOUD,"Shop in Block no. F, Garhoud Blsg. Apartment, 2nd Street Al Garhoud, Dubai"
A105,✔,✔,✔,✔,✔,✔,✖,✖,MEDICURE CENTRE,Medicure - Mankhool,DUBAI,MEDICAL CENTER,MEDICURE GROUP,04-3984866,AL MANKHOOL,"Mankhool St, Opp. Sunrock hotel , P.O. Box: 5719"
M245,✔,✔,✔,✔,✔,✔,✖,✖,MEDICURE CENTRE BRANCH,Medicure,DUBAI,MEDICAL CENTER,MEDICURE GROUP,04-3793931,SILICON OASIS,"Shop No. 1&2, Palace Tower Bldg., Dubai Silicon Oasis, P.O. Box: 5719"
M1208,✔,✔,✔,✔,✔,✖,✖,✖,Medicure Polyclinic L.L.C Branch- Al Manara,Medicure Polyclinic,DUBAI,MEDICAL CENTER,MEDICURE GROUP,04-2881221,Al Manara,"Villa No. 1166, Opp: J3 mall, Al Wasl Road, Umm Sequim 2. Al Manara"
B089,✔,✔,✔,✖,✖,✖,✖,✖,MERCATO FAMILY CLINIC,Mercato Family Clinic,DUBAI,MEDICAL CENTER,-,04-3448844,JUMEIRAH,"Jumairah Beach Rd. Near Mercato shopping Mall, P.O. Box: 28658"
M685,✔,✔,✔,✔,✔,✔,✖,✖,Miracure Medical Centre  LLC,Miracure Medical Centre Llc,DUBAI,MEDICAL CENTER,-,04-3202500,Ras Al Khor,"Office No 1-4, First Floor, Rashid Buset Building, Above NBQ Bank, Ras Al Khor 2"
M1258,✔,✔,✔,✔,✔,✔,✖,✖,MULTI CARE MEDICAL CENTRE,Multi Care Medical Center,DUBAI,MEDICAL CENTER,-,04-5807899,Al Quoz 2,"Multi Care Medical Centre LLC , Al Khail Gate Community Centre"
M824,✔,✔,✔,✔,✔,✔,✖,✖,NAIF MEDICAL CENTER LLC,Naif Medical Center,DUBAI,MEDICAL CENTER,-,04-2725527,NAIF,"FLAT NO. 104, ABDULLA HUSSAIN LOOTAH BUILDING, NAIF ROAD DUBAI"
A210,✔,✔,✔,✔,✔,✔,✖,✖,NEW LOTUS MEDICAL CENTER,"New Lotus Medical Center, Al Qusais, Dubai",DUBAI,MEDICAL CENTER,LOTUS GROUP,04-2619795,AL QUSAIS,"Flat 201, Above Sunrise Supermarket, Damascus St., Opp Grand Hotel, Al Qusais, P.O. Box: 95771"
M286,✔,✔,✔,✔,✔,✖,✖,✖,NEW MEDICAL CENTER (Ex:Reena Beegum clinic branch),Medex Clinic Deira (Dr Reena Beegum Clinic),DUBAI,MEDICAL CENTER,NMC HEALTHCARE,04-8808856,JAFZA,"1ST FLOOR, NESTO HYPERMARKET, NEW WEST ACCOMMODATION, JABAL ALI FREE ZONE.P.O. Box:251600"
M005,✔,✔,✔,✔,✖,✖,✖,✖,NEW MEDICAL CENTRE LLC,Nmc Medical Center Deira,DUBAI,MEDICAL CENTER,NMC HEALTHCARE,04-2689800,DEIRA,"New Al Safiya Bldg, next to Al Yasmin Bldg , Salah El Deen St, P.O. Box: 7832"
M1257,✔,✔,✔,✔,✔,✖,✖,✖,OXFORD MEDICAL CENTER,"Oxford Medical Center, Bur Dubai",DUBAI,MEDICAL CENTER,-,04-3925070; 04-2844952,BUR DUBAI,"AL SHARAFI BUILDING, GROUND FLOOR, SHOP, BUR DUBAI, ROLLA STREET"
M1113,✔,✔,✔,✔,✔,✔,✖,✖,PAKISTAN MEDICAL CENTER,Pakistan Medical Center,DUBAI,MEDICAL CENTER,-,04-3373632,OUD METHA,"PAKISTAN ASSOCIATION DUBAI, 11TH STRET , OUD METHA"
M691,✔,✔,✔,✔,✔,✖,✖,✖,Paradise Plus Poly Clinic LLC,Paradise Plus Poly Clinic & Pharmacy,DUBAI,MEDICAL CENTER,Paradise Plus,04-8848270,DIP 2,DIP2-RITAJ COMMUNITY CENTER -ABOV AL MAYA SUPER MARKET
M148,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER AL MIZHAR BRANCH LLC,Prime Medical Center - Mizhar,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-2845522,MIRDIFF,"Arabian Center G/F, Khawanej Road, Al Mizhar , P.O. Box: 5239"
M661,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER AL QUSAIS (BR OF PRIME MEDICAL CENTER LLC),Prime Corp Medical Center - Al Qusais,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-6079876,AL QUSAIS,"GROUND FLOOR , AL QUSAIS PLAZA DAMASCUS ST. AL QUSAIS DUBAI UAE"
M1073,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER AL WARQA,Prime Medical Center - Al Warqa,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,AL WARQA,"AL WARQA CITY MALL, GROUND FLOOR AL WARQA 3, DUBAI"
M833,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER BARSHA HEIGHTS (BR OF PRIME MEDICAL CENTER L.L.C),Prime Medical Center - Barsha Heights,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,AL THANYAH THIRD,"GROUND FLOOR, THE ONYX TOWER 1, THE GREENS (AL THANYAH THIRD), P.O.BOX:7162, DUBAI, UAE"
M159,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER BUR DUBAI LLC,Prime Medical Center - Burjuman,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-3570033,BUR DUBAI,"3rd floor of Burjuman Center at Khalid Bin Al Waleed Rd, Dubai, UAE"
M1106,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER DUBAI AIRPORT (BR OF PRIME MEDICAL CENTER LLC),Prime Corp Medical Center,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,AL GARHOUD,"DUBAI INTERNATIONAL AIRPORT TERMINAL 1, ARRIVAL AREA, AL GARHOUD"
M106,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER JUMEIRAH LLC,Prime Medical Center - Jumeirah,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-3494545,Al wasL,"Ground floor, Al ferdous 1, at Al wasl road, Dubai, UAE. P.O.BOX-7162"
M072,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER LLC-Reef mall(Active license for Claims),Prime Medical Center - Deira,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-2720720,DEIRA,"2ND FLOOR OF REEF MALL, SALAHUDDIN ROAD DEIRA, DUBAI, UNITED ARAB EMIRATES"
M669,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER MOTOR CITY (BR OF PRIME MEDICAL CENTER LLC),Prime Medical Center - Motor City,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070160,MOTOR CITY,"1st FLOOR ,1st AVENUE MALL AL HEBAIAH FIRST AREA, MOTOR CITY DUBAI, UNITED ARAB EMIRATES"
M651,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER REEF MALL LLC,Prime Medical Center - Deira,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-6079928,DEIRA,"2ND FLOOR OF REEF MALL, SALAHUDDIN ROAD DEIRA, DUBAI, UNITED ARAB EMIRATES"
M501,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER RTA BRANCH,Prime Medical Center - Rta,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-2720720,RASHIDIYA,"Block C, RTA Headquarters, Ummu Ramool, Rashidiya"
M144,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER SHEIKH ZAYED RD LLC,Prime Medical Center - Sheikh Zayed Road (Oasis Mall),DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-3389389,SZR,"Ibri House, Sheik Zayed Rd., Near 3rd Interchange, P.O. Box: 5239"
M1105,✔,✔,✔,✔,✔,✖,✖,✖,PRIMECORP MEDICAL CENTER AL QUSAIS (BR OF PRIMECORP MEDICAL CENTER LLC),Prime Corp Medical Center - Al Qusais,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,AL QUSAIS,"AL QUSAIS PLAZA, GROUND FLOOR, AL QUSAIS INDUSTRIAL AREA 2 - DUBAI"
M1121,✔,✔,✔,✔,✔,✖,✖,✖,PRIMECORP MEDICAL CENTER AL WARSAN (BR OF PRIMECORP MEDICAL CENTER L.L.C),Prime Corp Medical Center Al Warsaan Branch,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,AL WARSAN 3,"DUBAI MUNCIPALITY LABOUR ACCOMODATION, AL WARSAN 3, DUBAI"
M781,✔,✔,✔,✔,✔,✖,✖,✖,PRIMECORP MEDICAL CENTER DWC BR OF PRIMECORP MEDICAL CENTER LLC,Prime Corp Medical Center,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,DUBAI AIRPORT FREEZONE,"DUBAI AVIATION ENGINEERING PROJECTS, AL MAKTOUM INTERNATIONAL AIRPORT, DUBAI, UNITED ARAB EMIRATES"
M780,✔,✔,✔,✔,✔,✖,✖,✖,PRIMECORP MEDICAL CENTER L L C DIP BRANCH,Primecorp Medical Center L L C Dip Branch,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,DUBAI INVESTMENT PARK,"BLDG NO 33, AL FUTTAIM ACCOMODATION STREET NO 53 DUBAI INVESTMENT PARK, DUBAI, UNITED ARAB EMIRATES.P.O. Box:7162"
M137,✔,✔,✔,✔,✔,✖,✖,✖,PRIMECORP MEDICAL CENTER LLC,Prime Corp Medical Center - Deira,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-2329787,DFC,"Novo Cinema Parking, Dubai Festival City Mall"
M782,✔,✔,✔,✔,✔,✖,✖,✖,PRIMECORP MEDICAL CENTER LLC  JABAL ALI BRANCH,Primecorp Medical Center Llc  Jabal Ali Branch,DUBAI,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-7070999,JEBEL ALI INDUSTRIAL AREA,"ALEC CAMP 12 JABAL ALI INDUSTRIAL FIRST G03-G04 PLOT 282, DUBAI, UNITED ARAB EMIRATES. P.O. Box:7162"
M708,✔,✔,✔,✔,✔,✔,✖,✖,QAMAR AL MADINA MEDICAL CENTER L.L.C,Qam Healthcare,DUBAI,MEDICAL CENTER,QAMAR AL MADINA MEDICAL CENTER,04-3310993,Al quoz 3,"LATIFA BINT HAMDAN STREET, Al quoz 3,P.O. Box:392667, DUBAI"
B054,✔,✔,✔,✔,✔,✔,✖,✖,RASHIDIYA PRIVATE POLYCLINIC,"Kims Health Medical Center, Burdubai(Al Rashidiyah Pvt Poly Clinic)",DUBAI,MEDICAL CENTER,KIMS GROUP,04-3939383,BUR DUBAI,"Behind Plaza Cinema, P.O. Box: 51507"
